Date,Price
2005-10-03,1.889
2005-10-04,1.845
2005-10-05,1.765
2005-10-06,1.72
2005-10-07,1.74
2005-10-10,1.73
2005-10-11,1.77
2005-10-12,1.776
2005-10-13,1.729
2005-10-14,1.704
2005-10-17,1.757
2005-10-18,1.69
2005-10-19,1.657
2005-10-20,1.603
2005-10-21,1.645
2005-10-24,1.605
2005-10-25,1.662
2005-10-26,1.6
2005-10-27,1.61
2005-10-28,1.645
2005-10-31,1.581
2005-11-01,1.596
2005-11-02,1.576
2005-11-03,1.626
2005-11-04,1.605
2005-11-07,1.579
2005-11-08,1.607
2005-11-09,1.588
2005-11-10,1.544
2005-11-11,1.54
2005-11-14,1.543
2005-11-15,1.509
2005-11-16,1.527
2005-11-17,1.504
2005-11-18,1.502
2005-11-21,1.508
2005-11-22,1.558
2005-11-23,1.548
2005-11-28,1.502
2005-11-29,1.481
2005-11-30,1.527
2005-12-01,1.593
2005-12-02,1.631
2005-12-05,1.615
2005-12-06,1.61
2005-12-07,1.598
2005-12-08,1.667
2005-12-09,1.64
2005-12-12,1.687
2005-12-13,1.691
2005-12-14,1.686
2005-12-15,1.68
2005-12-16,1.619
2005-12-19,1.575
2005-12-20,1.559
2005-12-21,1.576
2005-12-22,1.591
2005-12-23,1.601
2005-12-27,1.573
2005-12-28,1.621
2005-12-29,1.682
2005-12-30,1.74
2006-01-03,1.786
2006-01-04,1.825
2006-01-05,1.817
2006-01-06,1.846
2006-01-09,1.798
2006-01-10,1.78
2006-01-11,1.763
2006-01-12,1.769
2006-01-13,1.771
2006-01-17,1.84
2006-01-18,1.8
2006-01-19,1.8
2006-01-20,1.83
2006-01-23,1.81
2006-01-24,1.774
2006-01-25,1.705
2006-01-26,1.724
2006-01-27,1.771
2006-01-30,1.805
2006-01-31,1.756
2006-02-01,1.744
2006-02-02,1.689
2006-02-03,1.702
2006-02-06,1.662
2006-02-07,1.614
2006-02-08,1.583
2006-02-09,1.58
2006-02-10,1.511
2006-02-13,1.478
2006-02-14,1.446
2006-02-15,1.431
2006-02-16,1.488
2006-02-17,1.529
2006-02-21,1.531
2006-02-22,1.498
2006-02-23,1.52
2006-02-24,1.56
2006-02-27,1.487
2006-02-28,1.544
2006-03-01,1.8
2006-03-02,1.863
2006-03-03,1.898
2006-03-06,1.841
2006-03-07,1.854
2006-03-08,1.832
2006-03-09,1.84
2006-03-10,1.819
2006-03-13,1.87
2006-03-14,1.949
2006-03-15,1.911
2006-03-16,1.949
2006-03-17,1.933
2006-03-20,1.875
2006-03-21,1.898
2006-03-22,1.848
2006-03-23,1.915
2006-03-24,1.958
2006-03-27,1.972
2006-03-28,2.039
2006-03-29,2.076
2006-03-30,2.081
2006-03-31,2.065
2006-04-03,2.051
2006-04-04,2.063
2006-04-05,2.106
2006-04-06,2.144
2006-04-07,2.125
2006-04-10,2.151
2006-04-11,2.192
2006-04-12,2.216
2006-04-13,2.23
2006-04-17,2.285
2006-04-18,2.321
2006-04-19,2.347
2006-04-20,2.322
2006-04-21,2.36
2006-04-24,2.304
2006-04-25,2.245
2006-04-26,2.251
2006-04-27,2.167
2006-04-28,2.21
2006-05-01,2.276
2006-05-02,2.325
2006-05-03,2.283
2006-05-04,2.174
2006-05-05,2.267
2006-05-08,2.249
2006-05-09,2.351
2006-05-10,2.459
2006-05-11,2.49
2006-05-12,2.426
2006-05-15,2.268
2006-05-16,2.226
2006-05-17,2.16
2006-05-18,2.175
2006-05-19,2.185
2006-05-22,2.172
2006-05-23,2.25
2006-05-24,2.157
2006-05-25,2.24
2006-05-26,2.31
2006-05-30,2.335
2006-05-31,2.287
2006-06-01,2.275
2006-06-02,2.363
2006-06-05,2.337
2006-06-06,2.346
2006-06-07,2.263
2006-06-08,2.279
2006-06-09,2.305
2006-06-12,2.26
2006-06-13,2.171
2006-06-14,2.182
2006-06-15,2.202
2006-06-16,2.205
2006-06-19,2.164
2006-06-20,2.167
2006-06-21,2.23
2006-06-22,2.275
2006-06-23,2.295
2006-06-26,2.343
2006-06-27,2.329
2006-06-28,2.319
2006-06-29,2.367
2006-06-30,2.393
2006-07-05,2.414
2006-07-06,2.406
2006-07-07,2.388
2006-07-10,2.305
2006-07-11,2.312
2006-07-12,2.368
2006-07-13,2.386
2006-07-14,2.431
2006-07-17,2.399
2006-07-18,2.367
2006-07-19,2.333
2006-07-20,2.359
2006-07-21,2.425
2006-07-24,2.419
2006-07-25,2.39
2006-07-26,2.375
2006-07-27,2.353
2006-07-28,2.338
